ESTADO,GENERO,GRAU_INSTRUCAO,ESTADO_CIVIL,COR_RACA,FAIXA_ETARIA_IBGE,CIDNAS_IGUAL_CIDCAND,CAND_PURA_S_COLIG,REELEICAO,SITUACAO_FINAL
MT,MASCULINO,ENSINO MÉDIO COMPLETO,CASADO(A),BRANCA,50 – 54 anos,NAO,NAO,N,ELEITO
GO,MASCULINO,ENSINO MÉDIO COMPLETO,CASADO(A),BRANCA,40 – 44 anos,SIM,NAO,N,ELEITO
GO,MASCULINO,SUPERIOR INCOMPLETO,DIVORCIADO(A),PARDA,55 – 59 anos,NAO,NAO,N,ELEITO
GO,MASCULINO,SUPERIOR COMPLETO,CASADO(A),BRANCA,60 – 64 anos,NAO,NAO,N,ELEITO
GO,MASCULINO,SUPERIOR COMPLETO,CASADO(A),PARDA,60 – 64 anos,SIM,NAO,N,NÃO ELEITO
GO,MASCULINO,ENSINO FUNDAMENTAL COMPLETO,CASADO(A),BRANCA,45 – 49 anos,SIM,SIM,N,NÃO ELEITO
GO,MASCULINO,LÊ E ESCREVE,CASADO(A),BRANCA,40 – 44 anos,NAO,NAO,N,ELEITO
MT,MASCULINO,SUPERIOR COMPLETO,CASADO(A),BRANCA,50 – 54 anos,NAO,NAO,N,NÃO ELEITO
MS,MASCULINO,ENSINO MÉDIO COMPLETO,SOLTEIRO(A),BRANCA,60 – 64 anos,NAO,SIM,N,NÃO ELEITO
GO,MASCULINO,SUPERIOR COMPLETO,CASADO(A),BRANCA,45 – 49 anos,NAO,NAO,N,ELEITO
GO,MASCULINO,SUPERIOR COMPLETO,CASADO(A),BRANCA,35 – 39 anos,NAO,SIM,N,NÃO ELEITO
MT,FEMININO,ENSINO MÉDIO INCOMPLETO,VIÚVO(A),PARDA,55 – 59 anos,NAO,NAO,N,NÃO ELEITO
MT,MASCULINO,SUPERIOR COMPLETO,CASADO(A),BRANCA,55 – 59 anos,NAO,NAO,S,NÃO ELEITO
MT,MASCULINO,SUPERIOR COMPLETO,CASADO(A),BRANCA,45 – 49 anos,NAO,NAO,S,ELEITO
