ESTADO,GENERO,GRAU_INSTRUCAO,ESTADO_CIVIL,COR_RACA,FAIXA_ETARIA_IBGE,CIDNAS_IGUAL_CIDCAND,CAND_PURA_S_COLIG,REELEICAO,SITUACAO_FINAL
MG,FEMININO,SUPERIOR COMPLETO,CASADO(A),BRANCA,45 – 49 anos,SIM,SIM,N,ELEITO
MG,MASCULINO,SUPERIOR COMPLETO,CASADO(A),BRANCA,55 – 59 anos,SIM,NAO,N,NÃO ELEITO
SP,MASCULINO,SUPERIOR COMPLETO,CASADO(A),BRANCA,30 – 34 anos,SIM,NAO,N,NÃO ELEITO
MG,MASCULINO,ENSINO MÉDIO COMPLETO,CASADO(A),BRANCA,35 – 39 anos,SIM,NAO,N,NÃO ELEITO
ES,MASCULINO,SUPERIOR COMPLETO,CASADO(A),BRANCA,70 – 74 anos,SIM,NAO,N,NÃO ELEITO
SP,MASCULINO,ENSINO FUNDAMENTAL INCOMPLETO,CASADO(A),BRANCA,55 – 59 anos,SIM,SIM,N,NÃO ELEITO
SP,FEMININO,SUPERIOR COMPLETO,CASADO(A),BRANCA,40 – 44 anos,NAO,SIM,N,NÃO ELEITO
SP,MASCULINO,SUPERIOR COMPLETO,SOLTEIRO(A),PRETA,60 – 64 anos,NAO,SIM,N,NÃO ELEITO
SP,MASCULINO,SUPERIOR COMPLETO,CASADO(A),BRANCA,75 anos ou superior,NAO,SIM,N,NÃO ELEITO
SP,FEMININO,ENSINO MÉDIO COMPLETO,CASADO(A),BRANCA,55 – 59 anos,NAO,SIM,N,NÃO ELEITO
SP,MASCULINO,SUPERIOR COMPLETO,CASADO(A),BRANCA,45 – 49 anos,SIM,SIM,N,NÃO ELEITO
SP,MASCULINO,SUPERIOR INCOMPLETO,DIVORCIADO(A),BRANCA,45 – 49 anos,NAO,SIM,N,NÃO ELEITO
MG,MASCULINO,ENSINO FUNDAMENTAL COMPLETO,CASADO(A),BRANCA,40 – 44 anos,NAO,NAO,N,ELEITO
MG,MASCULINO,SUPERIOR COMPLETO,SOLTEIRO(A),BRANCA,30 – 34 anos,NAO,SIM,N,NÃO ELEITO
MG,MASCULINO,SUPERIOR COMPLETO,DIVORCIADO(A),PRETA,50 – 54 anos,SIM,NAO,S,NÃO ELEITO
SP,MASCULINO,SUPERIOR COMPLETO,SEPARADO(A) JUDICIALMENTE,BRANCA,65 – 69 anos,NAO,SIM,N,NÃO ELEITO
SP,FEMININO,SUPERIOR COMPLETO,CASADO(A),PRETA,45 – 49 anos,NAO,SIM,N,NÃO ELEITO
MG,MASCULINO,LÊ E ESCREVE,DIVORCIADO(A),BRANCA,50 – 54 anos,SIM,SIM,N,NÃO ELEITO
RJ,MASCULINO,ENSINO MÉDIO COMPLETO,CASADO(A),PARDA,50 – 54 anos,NAO,SIM,N,NÃO ELEITO
SP,MASCULINO,SUPERIOR COMPLETO,CASADO(A),BRANCA,55 – 59 anos,NAO,NAO,N,NÃO ELEITO
RJ,MASCULINO,ENSINO MÉDIO INCOMPLETO,CASADO(A),PARDA,45 – 49 anos,SIM,SIM,N,NÃO ELEITO
SP,MASCULINO,ENSINO MÉDIO COMPLETO,CASADO(A),BRANCA,40 – 44 anos,SIM,SIM,N,NÃO ELEITO
MG,MASCULINO,ENSINO MÉDIO COMPLETO,SOLTEIRO(A),BRANCA,30 – 34 anos,SIM,NAO,N,ELEITO
RJ,MASCULINO,SUPERIOR COMPLETO,CASADO(A),PARDA,50 – 54 anos,NAO,SIM,N,NÃO ELEITO
MG,MASCULINO,SUPERIOR INCOMPLETO,CASADO(A),BRANCA,65 – 69 anos,SIM,NAO,S,ELEITO
ES,MASCULINO,ENSINO FUNDAMENTAL COMPLETO,CASADO(A),BRANCA,45 – 49 anos,SIM,SIM,N,NÃO ELEITO
MG,MASCULINO,SUPERIOR COMPLETO,CASADO(A),BRANCA,35 – 39 anos,SIM,NAO,N,NÃO ELEITO
RJ,MASCULINO,SUPERIOR COMPLETO,SOLTEIRO(A),BRANCA,40 – 44 anos,NAO,NAO,N,ELEITO
SP,MASCULINO,ENSINO MÉDIO COMPLETO,CASADO(A),BRANCA,45 – 49 anos,SIM,NAO,N,NÃO ELEITO
SP,MASCULINO,ENSINO MÉDIO COMPLETO,CASADO(A),BRANCA,75 anos ou superior,NAO,NAO,N,ELEITO
MG,FEMININO,SUPERIOR COMPLETO,CASADO(A),PARDA,55 – 59 anos,NAO,NAO,S,ELEITO
SP,MASCULINO,SUPERIOR COMPLETO,CASADO(A),BRANCA,55 – 59 anos,NAO,NAO,N,NÃO ELEITO
MG,MASCULINO,ENSINO MÉDIO COMPLETO,CASADO(A),BRANCA,60 – 64 anos,SIM,NAO,N,ELEITO
MG,MASCULINO,SUPERIOR COMPLETO,CASADO(A),PARDA,35 – 39 anos,SIM,SIM,N,NÃO ELEITO
SP,MASCULINO,ENSINO FUNDAMENTAL INCOMPLETO,SOLTEIRO(A),BRANCA,40 – 44 anos,SIM,SIM,N,NÃO ELEITO
SP,MASCULINO,SUPERIOR COMPLETO,SOLTEIRO(A),PARDA,45 – 49 anos,NAO,NAO,N,NÃO ELEITO
MG,MASCULINO,ENSINO MÉDIO COMPLETO,CASADO(A),BRANCA,45 – 49 anos,SIM,NAO,N,ELEITO
MG,MASCULINO,SUPERIOR COMPLETO,SOLTEIRO(A),PARDA,35 – 39 anos,NAO,NAO,N,NÃO ELEITO
MG,MASCULINO,ENSINO MÉDIO INCOMPLETO,CASADO(A),PARDA,50 – 54 anos,SIM,SIM,N,NÃO ELEITO
SP,MASCULINO,SUPERIOR COMPLETO,CASADO(A),BRANCA,45 – 49 anos,NAO,NAO,N,ELEITO
SP,MASCULINO,SUPERIOR COMPLETO,CASADO(A),BRANCA,55 – 59 anos,SIM,NAO,N,NÃO ELEITO
SP,MASCULINO,SUPERIOR COMPLETO,CASADO(A),BRANCA,60 – 64 anos,NAO,SIM,S,NÃO ELEITO
MG,MASCULINO,ENSINO FUNDAMENTAL INCOMPLETO,CASADO(A),PARDA,65 – 69 anos,NAO,NAO,N,NÃO ELEITO
MG,MASCULINO,SUPERIOR COMPLETO,SOLTEIRO(A),BRANCA,45 – 49 anos,NAO,NAO,N,ELEITO
MG,MASCULINO,SUPERIOR COMPLETO,CASADO(A),BRANCA,40 – 44 anos,SIM,NAO,S,ELEITO
SP,MASCULINO,SUPERIOR COMPLETO,CASADO(A),AMARELA,50 – 54 anos,NAO,SIM,N,NÃO ELEITO
SP,MASCULINO,SUPERIOR COMPLETO,CASADO(A),BRANCA,60 – 64 anos,SIM,SIM,N,NÃO ELEITO
SP,MASCULINO,ENSINO MÉDIO COMPLETO,CASADO(A),BRANCA,60 – 64 anos,SIM,SIM,N,NÃO ELEITO
MG,MASCULINO,SUPERIOR COMPLETO,DIVORCIADO(A),BRANCA,55 – 59 anos,SIM,SIM,N,NÃO ELEITO
RJ,FEMININO,SUPERIOR COMPLETO,DIVORCIADO(A),BRANCA,50 – 54 anos,SIM,NAO,N,NÃO ELEITO
MG,MASCULINO,SUPERIOR COMPLETO,CASADO(A),PARDA,35 – 39 anos,NAO,NAO,N,ELEITO
MG,MASCULINO,SUPERIOR COMPLETO,SOLTEIRO(A),BRANCA,40 – 44 anos,NAO,SIM,N,NÃO ELEITO
SP,MASCULINO,SUPERIOR COMPLETO,CASADO(A),BRANCA,35 – 39 anos,SIM,SIM,N,NÃO ELEITO
SP,MASCULINO,SUPERIOR COMPLETO,SOLTEIRO(A),PARDA,50 – 54 anos,SIM,SIM,N,NÃO ELEITO
SP,MASCULINO,SUPERIOR INCOMPLETO,CASADO(A),BRANCA,45 – 49 anos,SIM,SIM,N,NÃO ELEITO
MG,MASCULINO,SUPERIOR COMPLETO,DIVORCIADO(A),BRANCA,60 – 64 anos,SIM,NAO,N,ELEITO
SP,MASCULINO,ENSINO MÉDIO COMPLETO,CASADO(A),BRANCA,50 – 54 anos,NAO,NAO,S,ELEITO
SP,MASCULINO,ENSINO FUNDAMENTAL COMPLETO,CASADO(A),BRANCA,45 – 49 anos,SIM,NAO,N,NÃO ELEITO
MG,MASCULINO,SUPERIOR COMPLETO,DIVORCIADO(A),PARDA,40 – 44 anos,SIM,NAO,N,ELEITO
SP,MASCULINO,SUPERIOR COMPLETO,CASADO(A),BRANCA,40 – 44 anos,NAO,NAO,N,ELEITO
SP,MASCULINO,SUPERIOR COMPLETO,CASADO(A),BRANCA,55 – 59 anos,SIM,NAO,N,NÃO ELEITO
RJ,MASCULINO,SUPERIOR COMPLETO,SOLTEIRO(A),PARDA,30 – 34 anos,NAO,SIM,N,NÃO ELEITO
MG,MASCULINO,ENSINO MÉDIO INCOMPLETO,DIVORCIADO(A),BRANCA,60 – 64 anos,SIM,NAO,N,NÃO ELEITO
MG,MASCULINO,SUPERIOR COMPLETO,SOLTEIRO(A),BRANCA,35 – 39 anos,NAO,NAO,N,ELEITO
MG,MASCULINO,SUPERIOR COMPLETO,SOLTEIRO(A),BRANCA,35 – 39 anos,SIM,NAO,N,ELEITO
MG,MASCULINO,SUPERIOR COMPLETO,CASADO(A),BRANCA,45 – 49 anos,SIM,NAO,N,NÃO ELEITO
SP,MASCULINO,SUPERIOR COMPLETO,CASADO(A),BRANCA,50 – 54 anos,NAO,NAO,S,NÃO ELEITO
RJ,MASCULINO,SUPERIOR COMPLETO,CASADO(A),PARDA,40 – 44 anos,NAO,NAO,N,NÃO ELEITO
SP,FEMININO,SUPERIOR COMPLETO,CASADO(A),BRANCA,30 – 34 anos,NAO,SIM,N,NÃO ELEITO
SP,MASCULINO,SUPERIOR COMPLETO,CASADO(A),BRANCA,60 – 64 anos,NAO,NAO,S,ELEITO
MG,MASCULINO,SUPERIOR COMPLETO,DIVORCIADO(A),BRANCA,50 – 54 anos,SIM,NAO,N,ELEITO
SP,MASCULINO,SUPERIOR COMPLETO,CASADO(A),PRETA,55 – 59 anos,NAO,SIM,N,NÃO ELEITO
MG,MASCULINO,ENSINO MÉDIO COMPLETO,CASADO(A),BRANCA,50 – 54 anos,NAO,NAO,N,ELEITO
