ESTADO,GENERO,GRAU_INSTRUCAO,ESTADO_CIVIL,COR_RACA,FAIXA_ETARIA_IBGE,CIDNAS_IGUAL_CIDCAND,CAND_PURA_S_COLIG,REELEICAO,SITUACAO_FINAL
AM,MASCULINO,SUPERIOR COMPLETO,CASADO(A),PARDA,35 – 39 anos,SIM,NAO,N,NÃO ELEITO
TO,MASCULINO,ENSINO MÉDIO COMPLETO,CASADO(A),PARDA,45 – 49 anos,NAO,NAO,N,ELEITO
TO,MASCULINO,LÊ E ESCREVE,CASADO(A),BRANCA,35 – 39 anos,NAO,NAO,S,ELEITO
AM,MASCULINO,SUPERIOR COMPLETO,CASADO(A),BRANCA,50 – 54 anos,NAO,NAO,N,ELEITO
AM,MASCULINO,LÊ E ESCREVE,SOLTEIRO(A),PARDA,40 – 44 anos,NAO,SIM,N,NÃO ELEITO
TO,MASCULINO,SUPERIOR COMPLETO,CASADO(A),BRANCA,50 – 54 anos,NAO,SIM,N,NÃO ELEITO
AP,MASCULINO,ENSINO MÉDIO COMPLETO,CASADO(A),PRETA,55 – 59 anos,SIM,NAO,N,NÃO ELEITO
AM,MASCULINO,ENSINO MÉDIO COMPLETO,SOLTEIRO(A),BRANCA,40 – 44 anos,SIM,SIM,N,NÃO ELEITO
TO,MASCULINO,ENSINO MÉDIO COMPLETO,DIVORCIADO(A),PARDA,50 – 54 anos,SIM,SIM,N,NÃO ELEITO
AM,MASCULINO,ENSINO MÉDIO COMPLETO,SOLTEIRO(A),PARDA,35 – 39 anos,SIM,NAO,N,NÃO ELEITO
TO,MASCULINO,SUPERIOR COMPLETO,CASADO(A),PRETA,45 – 49 anos,SIM,NAO,N,NÃO ELEITO
TO,MASCULINO,ENSINO MÉDIO COMPLETO,CASADO(A),PARDA,60 – 64 anos,NAO,SIM,N,NÃO ELEITO
RO,MASCULINO,ENSINO FUNDAMENTAL INCOMPLETO,CASADO(A),BRANCA,50 – 54 anos,NAO,NAO,N,NÃO ELEITO
TO,MASCULINO,SUPERIOR COMPLETO,CASADO(A),PARDA,65 – 69 anos,NAO,NAO,N,ELEITO
TO,MASCULINO,ENSINO FUNDAMENTAL COMPLETO,CASADO(A),PARDA,50 – 54 anos,SIM,NAO,S,ELEITO
TO,MASCULINO,SUPERIOR COMPLETO,CASADO(A),PARDA,35 – 39 anos,NAO,NAO,N,ELEITO
TO,MASCULINO,SUPERIOR COMPLETO,CASADO(A),BRANCA,65 – 69 anos,NAO,NAO,N,NÃO ELEITO
AC,MASCULINO,SUPERIOR COMPLETO,CASADO(A),PARDA,35 – 39 anos,NAO,SIM,N,NÃO ELEITO
AP,MASCULINO,ENSINO MÉDIO INCOMPLETO,CASADO(A),PARDA,40 – 44 anos,NAO,NAO,S,ELEITO
AM,MASCULINO,SUPERIOR COMPLETO,CASADO(A),PARDA,40 – 44 anos,NAO,SIM,N,NÃO ELEITO
TO,FEMININO,SUPERIOR COMPLETO,SOLTEIRO(A),AMARELA,60 – 64 anos,NAO,NAO,N,ELEITO
AP,MASCULINO,SUPERIOR COMPLETO,SOLTEIRO(A),PARDA,35 – 39 anos,NAO,NAO,N,NÃO ELEITO
TO,FEMININO,ENSINO MÉDIO COMPLETO,DIVORCIADO(A),PRETA,50 – 54 anos,SIM,SIM,N,NÃO ELEITO
AM,MASCULINO,ENSINO MÉDIO COMPLETO,SOLTEIRO(A),PARDA,50 – 54 anos,NAO,NAO,N,ELEITO
AP,FEMININO,ENSINO FUNDAMENTAL INCOMPLETO,CASADO(A),BRANCA,60 – 64 anos,NAO,NAO,N,NÃO ELEITO
AM,FEMININO,SUPERIOR COMPLETO,SOLTEIRO(A),PARDA,40 – 44 anos,SIM,NAO,S,ELEITO
TO,MASCULINO,ENSINO MÉDIO COMPLETO,CASADO(A),PRETA,40 – 44 anos,SIM,SIM,N,NÃO ELEITO
RO,MASCULINO,SUPERIOR COMPLETO,CASADO(A),PARDA,50 – 54 anos,NAO,NAO,N,ELEITO
AC,MASCULINO,ENSINO MÉDIO COMPLETO,CASADO(A),PARDA,55 – 59 anos,NAO,NAO,S,NÃO ELEITO
TO,MASCULINO,ENSINO MÉDIO COMPLETO,CASADO(A),PARDA,50 – 54 anos,NAO,NAO,S,ELEITO
AP,MASCULINO,SUPERIOR COMPLETO,CASADO(A),BRANCA,45 – 49 anos,NAO,NAO,N,NÃO ELEITO
RO,MASCULINO,ENSINO MÉDIO COMPLETO,CASADO(A),BRANCA,45 – 49 anos,NAO,NAO,N,ELEITO
AM,FEMININO,SUPERIOR COMPLETO,SOLTEIRO(A),PARDA,55 – 59 anos,NAO,NAO,N,NÃO ELEITO
TO,MASCULINO,ENSINO MÉDIO COMPLETO,CASADO(A),BRANCA,50 – 54 anos,NAO,NAO,N,ELEITO
TO,MASCULINO,SUPERIOR COMPLETO,CASADO(A),BRANCA,35 – 39 anos,NAO,NAO,N,NÃO ELEITO
TO,MASCULINO,ENSINO MÉDIO COMPLETO,DIVORCIADO(A),PARDA,45 – 49 anos,NAO,NAO,N,NÃO ELEITO
TO,MASCULINO,ENSINO MÉDIO COMPLETO,CASADO(A),PARDA,50 – 54 anos,SIM,NAO,N,ELEITO
AM,MASCULINO,SUPERIOR COMPLETO,CASADO(A),PARDA,50 – 54 anos,NAO,SIM,N,NÃO ELEITO
AC,MASCULINO,ENSINO MÉDIO COMPLETO,CASADO(A),PARDA,55 – 59 anos,NAO,SIM,N,NÃO ELEITO
AM,MASCULINO,ENSINO MÉDIO COMPLETO,CASADO(A),PARDA,50 – 54 anos,NAO,SIM,N,NÃO ELEITO
TO,MASCULINO,SUPERIOR COMPLETO,CASADO(A),PARDA,55 – 59 anos,NAO,NAO,N,NÃO ELEITO
TO,MASCULINO,ENSINO MÉDIO COMPLETO,CASADO(A),PARDA,30 – 34 anos,NAO,NAO,N,ELEITO
TO,MASCULINO,ENSINO FUNDAMENTAL COMPLETO,CASADO(A),PARDA,45 – 49 anos,NAO,SIM,N,NÃO ELEITO
AM,MASCULINO,ENSINO MÉDIO COMPLETO,SOLTEIRO(A),PARDA,35 – 39 anos,NAO,NAO,S,ELEITO
RO,MASCULINO,SUPERIOR COMPLETO,CASADO(A),BRANCA,45 – 49 anos,NAO,NAO,N,NÃO ELEITO
RO,MASCULINO,SUPERIOR COMPLETO,SOLTEIRO(A),BRANCA,55 – 59 anos,NAO,NAO,N,NÃO ELEITO
AM,FEMININO,ENSINO MÉDIO COMPLETO,SOLTEIRO(A),PARDA,50 – 54 anos,NAO,SIM,N,NÃO ELEITO
AM,MASCULINO,SUPERIOR COMPLETO,CASADO(A),PARDA,35 – 39 anos,NAO,NAO,N,NÃO ELEITO
TO,MASCULINO,SUPERIOR COMPLETO,SOLTEIRO(A),PARDA,45 – 49 anos,NAO,NAO,N,NÃO ELEITO
AC,MASCULINO,ENSINO MÉDIO COMPLETO,CASADO(A),PARDA,55 – 59 anos,NAO,SIM,N,NÃO ELEITO
RR,MASCULINO,ENSINO FUNDAMENTAL INCOMPLETO,CASADO(A),INDÍGENA,50 – 54 anos,NAO,NAO,N,ELEITO
AC,MASCULINO,ENSINO MÉDIO COMPLETO,CASADO(A),PARDA,35 – 39 anos,SIM,SIM,N,ELEITO
TO,MASCULINO,SUPERIOR COMPLETO,CASADO(A),PARDA,55 – 59 anos,SIM,NAO,S,NÃO ELEITO
RO,MASCULINO,SUPERIOR COMPLETO,CASADO(A),PARDA,25 – 29 anos,NAO,SIM,N,NÃO ELEITO
TO,MASCULINO,ENSINO MÉDIO COMPLETO,CASADO(A),PARDA,55 – 59 anos,NAO,NAO,N,NÃO ELEITO
TO,MASCULINO,SUPERIOR COMPLETO,CASADO(A),PARDA,40 – 44 anos,NAO,NAO,N,NÃO ELEITO
RO,MASCULINO,SUPERIOR COMPLETO,CASADO(A),BRANCA,30 – 34 anos,NAO,SIM,N,NÃO ELEITO
TO,FEMININO,SUPERIOR COMPLETO,CASADO(A),BRANCA,40 – 44 anos,NAO,NAO,N,ELEITO
TO,MASCULINO,SUPERIOR COMPLETO,CASADO(A),BRANCA,35 – 39 anos,NAO,NAO,N,NÃO ELEITO
TO,MASCULINO,SUPERIOR INCOMPLETO,CASADO(A),BRANCA,40 – 44 anos,NAO,SIM,N,NÃO ELEITO
RO,MASCULINO,ENSINO MÉDIO COMPLETO,SOLTEIRO(A),PARDA,40 – 44 anos,NAO,NAO,N,NÃO ELEITO
TO,MASCULINO,SUPERIOR INCOMPLETO,CASADO(A),PARDA,50 – 54 anos,NAO,SIM,N,NÃO ELEITO
AM,MASCULINO,SUPERIOR COMPLETO,SOLTEIRO(A),PARDA,55 – 59 anos,SIM,SIM,N,NÃO ELEITO
AC,FEMININO,SUPERIOR COMPLETO,SOLTEIRO(A),PARDA,50 – 54 anos,NAO,NAO,N,NÃO ELEITO
TO,MASCULINO,SUPERIOR COMPLETO,CASADO(A),BRANCA,30 – 34 anos,SIM,NAO,N,ELEITO
RO,MASCULINO,ENSINO MÉDIO COMPLETO,CASADO(A),PARDA,40 – 44 anos,NAO,NAO,N,ELEITO
AP,MASCULINO,SUPERIOR COMPLETO,SOLTEIRO(A),BRANCA,55 – 59 anos,NAO,SIM,N,NÃO ELEITO
AC,MASCULINO,SUPERIOR COMPLETO,CASADO(A),PARDA,35 – 39 anos,SIM,NAO,N,NÃO ELEITO
TO,MASCULINO,SUPERIOR COMPLETO,SOLTEIRO(A),BRANCA,70 – 74 anos,NAO,SIM,N,NÃO ELEITO
RO,MASCULINO,SUPERIOR COMPLETO,CASADO(A),PARDA,45 – 49 anos,NAO,NAO,N,ELEITO
AM,MASCULINO,ENSINO MÉDIO COMPLETO,SOLTEIRO(A),PARDA,55 – 59 anos,SIM,NAO,N,ELEITO
AM,MASCULINO,ENSINO MÉDIO COMPLETO,CASADO(A),BRANCA,50 – 54 anos,SIM,NAO,N,NÃO ELEITO
TO,MASCULINO,ENSINO FUNDAMENTAL COMPLETO,CASADO(A),PARDA,75 anos ou superior,NAO,NAO,S,NÃO ELEITO
TO,MASCULINO,SUPERIOR COMPLETO,CASADO(A),BRANCA,40 – 44 anos,NAO,NAO,N,NÃO ELEITO
AM,MASCULINO,SUPERIOR COMPLETO,CASADO(A),PARDA,70 – 74 anos,NAO,NAO,N,NÃO ELEITO
TO,MASCULINO,ENSINO FUNDAMENTAL INCOMPLETO,CASADO(A),BRANCA,65 – 69 anos,NAO,NAO,N,NÃO ELEITO
AP,MASCULINO,SUPERIOR COMPLETO,CASADO(A),PARDA,45 – 49 anos,NAO,SIM,N,NÃO ELEITO
TO,MASCULINO,SUPERIOR COMPLETO,CASADO(A),PARDA,35 – 39 anos,NAO,NAO,N,NÃO ELEITO
AM,MASCULINO,ENSINO FUNDAMENTAL COMPLETO,SOLTEIRO(A),BRANCA,50 – 54 anos,SIM,SIM,N,NÃO ELEITO
AM,MASCULINO,ENSINO MÉDIO COMPLETO,SOLTEIRO(A),PARDA,50 – 54 anos,NAO,NAO,N,ELEITO
RR,MASCULINO,ENSINO FUNDAMENTAL COMPLETO,DIVORCIADO(A),BRANCA,55 – 59 anos,NAO,NAO,N,NÃO ELEITO
TO,MASCULINO,SUPERIOR COMPLETO,SOLTEIRO(A),BRANCA,30 – 34 anos,NAO,NAO,N,NÃO ELEITO
RO,FEMININO,SUPERIOR COMPLETO,SOLTEIRO(A),PARDA,30 – 34 anos,NAO,NAO,N,NÃO ELEITO
RO,MASCULINO,LÊ E ESCREVE,CASADO(A),BRANCA,65 – 69 anos,NAO,NAO,N,NÃO ELEITO
TO,FEMININO,SUPERIOR COMPLETO,CASADO(A),PARDA,45 – 49 anos,NAO,NAO,S,ELEITO
AM,MASCULINO,ENSINO MÉDIO COMPLETO,CASADO(A),PARDA,45 – 49 anos,SIM,NAO,S,ELEITO
AM,MASCULINO,ENSINO MÉDIO COMPLETO,CASADO(A),PARDA,50 – 54 anos,SIM,SIM,N,NÃO ELEITO
TO,MASCULINO,ENSINO MÉDIO INCOMPLETO,CASADO(A),PARDA,35 – 39 anos,NAO,SIM,N,NÃO ELEITO
TO,MASCULINO,ENSINO MÉDIO COMPLETO,CASADO(A),BRANCA,45 – 49 anos,NAO,NAO,N,NÃO ELEITO
RO,MASCULINO,ENSINO MÉDIO COMPLETO,CASADO(A),BRANCA,45 – 49 anos,NAO,NAO,N,NÃO ELEITO
TO,MASCULINO,SUPERIOR COMPLETO,CASADO(A),PARDA,25 – 29 anos,NAO,SIM,N,NÃO ELEITO
RR,MASCULINO,ENSINO MÉDIO COMPLETO,CASADO(A),PARDA,50 – 54 anos,NAO,NAO,N,NÃO ELEITO
TO,MASCULINO,ENSINO MÉDIO COMPLETO,DIVORCIADO(A),BRANCA,60 – 64 anos,NAO,NAO,N,ELEITO
AM,MASCULINO,SUPERIOR COMPLETO,CASADO(A),BRANCA,50 – 54 anos,SIM,NAO,N,NÃO ELEITO
TO,MASCULINO,ENSINO MÉDIO INCOMPLETO,CASADO(A),PARDA,40 – 44 anos,NAO,NAO,N,NÃO ELEITO
TO,MASCULINO,ENSINO FUNDAMENTAL COMPLETO,CASADO(A),PARDA,45 – 49 anos,NAO,NAO,S,ELEITO
TO,MASCULINO,ENSINO MÉDIO COMPLETO,CASADO(A),PARDA,50 – 54 anos,NAO,NAO,N,NÃO ELEITO
RR,MASCULINO,ENSINO MÉDIO INCOMPLETO,SOLTEIRO(A),PARDA,45 – 49 anos,NAO,SIM,N,NÃO ELEITO
AM,MASCULINO,ENSINO FUNDAMENTAL COMPLETO,SOLTEIRO(A),PARDA,40 – 44 anos,NAO,SIM,N,NÃO ELEITO
RO,MASCULINO,ENSINO MÉDIO COMPLETO,CASADO(A),PARDA,45 – 49 anos,NAO,NAO,N,ELEITO
AM,MASCULINO,ENSINO MÉDIO COMPLETO,SOLTEIRO(A),PARDA,50 – 54 anos,NAO,SIM,N,NÃO ELEITO
TO,MASCULINO,SUPERIOR COMPLETO,CASADO(A),PARDA,50 – 54 anos,NAO,NAO,N,NÃO ELEITO
AM,MASCULINO,SUPERIOR COMPLETO,CASADO(A),PARDA,55 – 59 anos,NAO,NAO,N,NÃO ELEITO
RO,FEMININO,SUPERIOR COMPLETO,CASADO(A),PARDA,40 – 44 anos,NAO,NAO,N,NÃO ELEITO
RO,FEMININO,SUPERIOR COMPLETO,CASADO(A),PARDA,45 – 49 anos,NAO,NAO,N,NÃO ELEITO
TO,MASCULINO,ENSINO FUNDAMENTAL COMPLETO,CASADO(A),BRANCA,35 – 39 anos,NAO,NAO,N,NÃO ELEITO
TO,MASCULINO,ENSINO MÉDIO COMPLETO,CASADO(A),BRANCA,50 – 54 anos,NAO,SIM,N,NÃO ELEITO
AM,MASCULINO,SUPERIOR COMPLETO,CASADO(A),BRANCA,50 – 54 anos,SIM,NAO,N,NÃO ELEITO
TO,FEMININO,ENSINO MÉDIO INCOMPLETO,CASADO(A),BRANCA,50 – 54 anos,NAO,NAO,N,NÃO ELEITO
AP,MASCULINO,ENSINO MÉDIO COMPLETO,CASADO(A),PARDA,45 – 49 anos,NAO,NAO,N,NÃO ELEITO
RR,MASCULINO,ENSINO FUNDAMENTAL INCOMPLETO,SOLTEIRO(A),PARDA,55 – 59 anos,NAO,NAO,N,NÃO ELEITO
TO,MASCULINO,SUPERIOR COMPLETO,CASADO(A),BRANCA,60 – 64 anos,SIM,NAO,S,ELEITO
TO,MASCULINO,ENSINO FUNDAMENTAL INCOMPLETO,CASADO(A),PARDA,70 – 74 anos,NAO,NAO,N,ELEITO
TO,MASCULINO,SUPERIOR COMPLETO,DIVORCIADO(A),BRANCA,45 – 49 anos,SIM,NAO,N,ELEITO
TO,MASCULINO,ENSINO MÉDIO COMPLETO,SOLTEIRO(A),PARDA,35 – 39 anos,SIM,SIM,N,NÃO ELEITO
TO,MASCULINO,ENSINO MÉDIO COMPLETO,CASADO(A),BRANCA,45 – 49 anos,NAO,NAO,N,ELEITO
RO,MASCULINO,SUPERIOR COMPLETO,CASADO(A),BRANCA,50 – 54 anos,NAO,SIM,N,NÃO ELEITO
AM,MASCULINO,SUPERIOR COMPLETO,CASADO(A),BRANCA,45 – 49 anos,NAO,SIM,N,NÃO ELEITO
TO,MASCULINO,ENSINO FUNDAMENTAL INCOMPLETO,SOLTEIRO(A),PARDA,50 – 54 anos,NAO,NAO,N,NÃO ELEITO
AM,MASCULINO,SUPERIOR COMPLETO,CASADO(A),PARDA,40 – 44 anos,NAO,SIM,N,NÃO ELEITO
AP,MASCULINO,SUPERIOR COMPLETO,CASADO(A),PARDA,50 – 54 anos,NAO,NAO,N,ELEITO
AC,MASCULINO,ENSINO MÉDIO COMPLETO,CASADO(A),PARDA,40 – 44 anos,SIM,NAO,N,ELEITO
AM,MASCULINO,SUPERIOR COMPLETO,VIÚVO(A),PARDA,50 – 54 anos,SIM,NAO,N,NÃO ELEITO
RO,MASCULINO,SUPERIOR COMPLETO,SOLTEIRO(A),BRANCA,50 – 54 anos,NAO,NAO,N,ELEITO
TO,MASCULINO,SUPERIOR COMPLETO,SOLTEIRO(A),SEM INFORMAÇÃO,35 – 39 anos,NAO,SIM,N,NÃO ELEITO
TO,MASCULINO,SUPERIOR COMPLETO,CASADO(A),PARDA,40 – 44 anos,NAO,NAO,N,NÃO ELEITO
RR,MASCULINO,SUPERIOR INCOMPLETO,SOLTEIRO(A),PARDA,35 – 39 anos,SIM,NAO,N,NÃO ELEITO
TO,FEMININO,SUPERIOR COMPLETO,SOLTEIRO(A),PRETA,40 – 44 anos,NAO,SIM,N,NÃO ELEITO
AP,FEMININO,SUPERIOR COMPLETO,SOLTEIRO(A),PARDA,45 – 49 anos,NAO,NAO,N,NÃO ELEITO
AM,MASCULINO,ENSINO FUNDAMENTAL INCOMPLETO,CASADO(A),BRANCA,65 – 69 anos,SIM,NAO,S,NÃO ELEITO
TO,MASCULINO,ENSINO MÉDIO COMPLETO,CASADO(A),BRANCA,45 – 49 anos,NAO,NAO,N,ELEITO
AM,MASCULINO,SUPERIOR INCOMPLETO,CASADO(A),BRANCA,65 – 69 anos,NAO,SIM,N,NÃO ELEITO
TO,MASCULINO,SUPERIOR COMPLETO,SOLTEIRO(A),PARDA,45 – 49 anos,NAO,NAO,N,NÃO ELEITO
RO,MASCULINO,ENSINO MÉDIO COMPLETO,CASADO(A),BRANCA,60 – 64 anos,NAO,SIM,N,NÃO ELEITO
TO,MASCULINO,SUPERIOR COMPLETO,CASADO(A),PARDA,60 – 64 anos,NAO,SIM,N,NÃO ELEITO
TO,FEMININO,SUPERIOR COMPLETO,DIVORCIADO(A),PARDA,55 – 59 anos,NAO,NAO,N,NÃO ELEITO
TO,MASCULINO,SUPERIOR COMPLETO,CASADO(A),BRANCA,30 – 34 anos,NAO,NAO,N,ELEITO
AM,MASCULINO,ENSINO MÉDIO COMPLETO,CASADO(A),PARDA,40 – 44 anos,SIM,SIM,N,NÃO ELEITO
TO,MASCULINO,SUPERIOR COMPLETO,DIVORCIADO(A),PARDA,45 – 49 anos,SIM,NAO,N,ELEITO
TO,MASCULINO,SUPERIOR COMPLETO,CASADO(A),BRANCA,25 – 29 anos,NAO,NAO,N,ELEITO
AP,MASCULINO,SUPERIOR COMPLETO,CASADO(A),BRANCA,45 – 49 anos,SIM,SIM,N,NÃO ELEITO
RO,MASCULINO,ENSINO FUNDAMENTAL COMPLETO,SOLTEIRO(A),PARDA,45 – 49 anos,NAO,SIM,N,NÃO ELEITO
AM,MASCULINO,SUPERIOR COMPLETO,VIÚVO(A),PARDA,55 – 59 anos,NAO,SIM,N,NÃO ELEITO
TO,MASCULINO,ENSINO MÉDIO COMPLETO,CASADO(A),PARDA,40 – 44 anos,NAO,NAO,S,ELEITO
TO,MASCULINO,SUPERIOR COMPLETO,CASADO(A),PARDA,55 – 59 anos,SIM,NAO,S,ELEITO
AC,MASCULINO,ENSINO MÉDIO COMPLETO,CASADO(A),BRANCA,55 – 59 anos,NAO,NAO,N,NÃO ELEITO
AM,FEMININO,SUPERIOR COMPLETO,VIÚVO(A),PARDA,70 – 74 anos,NAO,NAO,N,NÃO ELEITO
TO,MASCULINO,SUPERIOR COMPLETO,CASADO(A),PARDA,40 – 44 anos,NAO,SIM,N,NÃO ELEITO
RR,MASCULINO,SUPERIOR COMPLETO,CASADO(A),PARDA,55 – 59 anos,SIM,SIM,N,NÃO ELEITO
AM,MASCULINO,SUPERIOR COMPLETO,SOLTEIRO(A),PARDA,70 – 74 anos,SIM,NAO,N,NÃO ELEITO
RO,MASCULINO,ENSINO MÉDIO INCOMPLETO,CASADO(A),PARDA,40 – 44 anos,SIM,NAO,N,NÃO ELEITO
TO,MASCULINO,SUPERIOR COMPLETO,CASADO(A),BRANCA,60 – 64 anos,NAO,SIM,N,NÃO ELEITO
RR,FEMININO,SUPERIOR COMPLETO,SOLTEIRO(A),PARDA,40 – 44 anos,SIM,NAO,N,ELEITO
AM,FEMININO,SUPERIOR COMPLETO,CASADO(A),BRANCA,50 – 54 anos,NAO,NAO,N,NÃO ELEITO
AM,FEMININO,ENSINO FUNDAMENTAL COMPLETO,VIÚVO(A),PARDA,55 – 59 anos,NAO,SIM,N,NÃO ELEITO
TO,MASCULINO,SUPERIOR COMPLETO,CASADO(A),PARDA,45 – 49 anos,NAO,SIM,N,NÃO ELEITO
AM,MASCULINO,SUPERIOR COMPLETO,CASADO(A),BRANCA,50 – 54 anos,NAO,NAO,N,NÃO ELEITO
RO,MASCULINO,ENSINO MÉDIO INCOMPLETO,CASADO(A),BRANCA,45 – 49 anos,NAO,NAO,N,NÃO ELEITO
AM,MASCULINO,ENSINO MÉDIO COMPLETO,CASADO(A),PARDA,45 – 49 anos,NAO,NAO,N,NÃO ELEITO
AC,MASCULINO,ENSINO MÉDIO COMPLETO,CASADO(A),PARDA,45 – 49 anos,SIM,NAO,N,NÃO ELEITO
AM,MASCULINO,ENSINO MÉDIO COMPLETO,SOLTEIRO(A),PARDA,50 – 54 anos,NAO,NAO,N,ELEITO
TO,FEMININO,ENSINO MÉDIO COMPLETO,CASADO(A),PARDA,60 – 64 anos,NAO,NAO,N,NÃO ELEITO
TO,FEMININO,SUPERIOR COMPLETO,DIVORCIADO(A),BRANCA,50 – 54 anos,NAO,NAO,N,ELEITO
AM,MASCULINO,SUPERIOR COMPLETO,SOLTEIRO(A),BRANCA,35 – 39 anos,NAO,NAO,N,NÃO ELEITO
TO,MASCULINO,SUPERIOR COMPLETO,CASADO(A),PARDA,45 – 49 anos,NAO,NAO,N,ELEITO
TO,MASCULINO,ENSINO MÉDIO COMPLETO,CASADO(A),BRANCA,40 – 44 anos,NAO,NAO,N,ELEITO
AC,MASCULINO,SUPERIOR COMPLETO,CASADO(A),PARDA,35 – 39 anos,SIM,NAO,N,NÃO ELEITO
TO,FEMININO,SUPERIOR COMPLETO,SOLTEIRO(A),PARDA,45 – 49 anos,NAO,NAO,S,NÃO ELEITO
TO,MASCULINO,ENSINO MÉDIO COMPLETO,DIVORCIADO(A),BRANCA,55 – 59 anos,SIM,NAO,N,ELEITO
AP,MASCULINO,SUPERIOR COMPLETO,SOLTEIRO(A),BRANCA,35 – 39 anos,NAO,NAO,N,ELEITO
RO,MASCULINO,ENSINO FUNDAMENTAL INCOMPLETO,SOLTEIRO(A),BRANCA,60 – 64 anos,NAO,NAO,N,NÃO ELEITO
RO,MASCULINO,SUPERIOR COMPLETO,CASADO(A),PARDA,55 – 59 anos,SIM,SIM,N,NÃO ELEITO
TO,MASCULINO,ENSINO MÉDIO COMPLETO,CASADO(A),BRANCA,55 – 59 anos,NAO,NAO,N,ELEITO
RR,MASCULINO,ENSINO FUNDAMENTAL COMPLETO,CASADO(A),PARDA,35 – 39 anos,NAO,SIM,N,NÃO ELEITO
RR,MASCULINO,SUPERIOR COMPLETO,CASADO(A),BRANCA,35 – 39 anos,NAO,SIM,N,NÃO ELEITO
RO,MASCULINO,SUPERIOR COMPLETO,CASADO(A),PRETA,45 – 49 anos,NAO,SIM,N,NÃO ELEITO
TO,MASCULINO,SUPERIOR COMPLETO,CASADO(A),BRANCA,30 – 34 anos,NAO,SIM,N,NÃO ELEITO
AP,MASCULINO,SUPERIOR COMPLETO,CASADO(A),BRANCA,45 – 49 anos,NAO,NAO,N,NÃO ELEITO
TO,MASCULINO,ENSINO MÉDIO COMPLETO,SOLTEIRO(A),PARDA,35 – 39 anos,NAO,NAO,N,ELEITO
AM,MASCULINO,ENSINO FUNDAMENTAL INCOMPLETO,DIVORCIADO(A),PARDA,45 – 49 anos,NAO,SIM,N,NÃO ELEITO
AC,MASCULINO,SUPERIOR COMPLETO,CASADO(A),PARDA,60 – 64 anos,NAO,NAO,S,NÃO ELEITO
RO,MASCULINO,SUPERIOR COMPLETO,CASADO(A),BRANCA,40 – 44 anos,NAO,SIM,N,NÃO ELEITO
TO,MASCULINO,ENSINO MÉDIO COMPLETO,SOLTEIRO(A),PARDA,40 – 44 anos,NAO,NAO,N,ELEITO
TO,MASCULINO,SUPERIOR COMPLETO,CASADO(A),PARDA,40 – 44 anos,SIM,SIM,N,NÃO ELEITO
RO,MASCULINO,SUPERIOR COMPLETO,SOLTEIRO(A),BRANCA,40 – 44 anos,NAO,SIM,N,NÃO ELEITO
RO,FEMININO,SUPERIOR COMPLETO,CASADO(A),BRANCA,50 – 54 anos,NAO,NAO,N,NÃO ELEITO
RO,MASCULINO,SUPERIOR COMPLETO,CASADO(A),BRANCA,65 – 69 anos,NAO,NAO,N,NÃO ELEITO
TO,MASCULINO,SUPERIOR COMPLETO,CASADO(A),BRANCA,60 – 64 anos,SIM,NAO,S,NÃO ELEITO
AP,MASCULINO,ENSINO FUNDAMENTAL COMPLETO,DIVORCIADO(A),PARDA,50 – 54 anos,NAO,NAO,N,NÃO ELEITO
RR,MASCULINO,ENSINO FUNDAMENTAL COMPLETO,CASADO(A),PARDA,65 – 69 anos,NAO,SIM,N,NÃO ELEITO
AM,MASCULINO,SUPERIOR COMPLETO,DIVORCIADO(A),BRANCA,50 – 54 anos,NAO,SIM,N,NÃO ELEITO
AM,MASCULINO,ENSINO FUNDAMENTAL INCOMPLETO,SOLTEIRO(A),BRANCA,55 – 59 anos,SIM,NAO,N,NÃO ELEITO
AM,FEMININO,ENSINO MÉDIO COMPLETO,CASADO(A),PARDA,50 – 54 anos,SIM,NAO,N,ELEITO
RO,MASCULINO,SUPERIOR COMPLETO,CASADO(A),PRETA,55 – 59 anos,NAO,NAO,N,NÃO ELEITO
AP,MASCULINO,SUPERIOR COMPLETO,SOLTEIRO(A),PARDA,45 – 49 anos,NAO,NAO,S,NÃO ELEITO
TO,MASCULINO,SUPERIOR COMPLETO,CASADO(A),BRANCA,30 – 34 anos,NAO,NAO,N,ELEITO
AC,MASCULINO,SUPERIOR COMPLETO,CASADO(A),BRANCA,55 – 59 anos,NAO,NAO,N,ELEITO
RR,FEMININO,SUPERIOR COMPLETO,DIVORCIADO(A),BRANCA,35 – 39 anos,SIM,NAO,N,NÃO ELEITO
AM,MASCULINO,ENSINO MÉDIO COMPLETO,SOLTEIRO(A),PARDA,65 – 69 anos,SIM,SIM,N,NÃO ELEITO
RO,MASCULINO,ENSINO FUNDAMENTAL COMPLETO,SOLTEIRO(A),PRETA,50 – 54 anos,NAO,NAO,S,NÃO ELEITO
AM,MASCULINO,ENSINO MÉDIO COMPLETO,CASADO(A),PARDA,55 – 59 anos,NAO,SIM,N,NÃO ELEITO
RO,MASCULINO,ENSINO FUNDAMENTAL INCOMPLETO,CASADO(A),BRANCA,65 – 69 anos,NAO,NAO,N,ELEITO
AM,MASCULINO,ENSINO MÉDIO COMPLETO,CASADO(A),PARDA,50 – 54 anos,NAO,NAO,N,ELEITO
TO,MASCULINO,ENSINO MÉDIO COMPLETO,SOLTEIRO(A),PARDA,40 – 44 anos,NAO,NAO,N,NÃO ELEITO
